"","HHID","PN","OPN_SP","OLB018A","OLB018B","OLB018C","OLB018D","OLB018E","OLB018F","OLB018G","OLB018H","OLB018I","OLB018J","OLB004A","OLB004B","OLB004C","OLB004D","OLB004E","OLB004F","OLB004G","OLB005","OLB005A","OLB005B","respondent_id","spouse_id"
"105",12280,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12280020,12280030
"106",12280,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12280030,12280020
"107",12292,10,20,4,6,6,6,1,1,1,NA,2,1,2,1,2,3,3,3,3,2,2,2,12292010,12292020
"108",12292,20,10,1,6,6,6,1,1,1,1,1,1,1,1,1,3,4,4,3,1,1,1,12292020,12292010
"109",12344,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12344010,12344020
"110",12344,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12344020,12344010
"111",12418,20,30,2,2,2,NA,3,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,1,2,3,12418020,12418030
"112",12418,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12418030,12418020
"113",12481,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12481010,12481011
"114",12481,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12481011,12481010
"115",12484,10,20,2,2,2,2,1,2,1,3,2,2,3,1,2,2,3,3,3,1,2,1,12484010,12484020
"116",12484,20,10,5,4,3,2,3,3,2,4,4,2,1,1,2,2,3,4,3,1,2,2,12484020,12484010
"117",12510,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12510010,12510020
"118",12510,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12510020,12510010
"119",12512,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12512010,12512020
"120",12512,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12512020,12512010
"121",12516,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12516010,12516040
"122",12516,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12516040,12516010
"123",12573,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12573010,12573011
"124",12573,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12573011,12573010
"125",12586,10,20,1,2,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,12586010,12586020
"126",12586,20,10,4,5,4,4,4,4,4,4,4,3,1,1,1,3,3,4,3,1,2,1,12586020,12586010
"127",12588,10,20,1,4,3,3,3,4,1,1,1,1,1,1,1,4,4,4,4,1,2,1,12588010,12588020
